"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @ddanpereira: Sorry @BarackObama..your remark regarding Trump's Covid 19 response is still a major understatement!!...This is by far the…",FALSE,0,NA,2020-05-10 06:46:15,FALSE,NA,"1259374171106299905",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ruth6625",11,TRUE,FALSE,NA,NA
"#residenciasdemayores 
#megustatrabajaraqui
#loestamoshaciendobien
#Covid_19
#Gandia 

https://t.co/pZ71YteVhv https://t.co/Nk2nVrTwlk",FALSE,2,NA,2020-05-10 06:46:15,FALSE,NA,"1259374171055939585",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ResiMariaInmacu",1,FALSE,FALSE,NA,NA
"RT @CMOfficeUP: COVID-19 <U+0906><U+092A><U+0926><U+093E> <U+0915><U+0947> <U+092C><U+0940><U+091A> <U+0928><U+093E><U+0917><U+0930><U+093F><U+0915><U+094B><U+0902> <U+0915><U+0940> <U+0938><U+094D><U+0935><U+093E><U+0938><U+094D><U+0925><U+094D><U+092F> <U+0938><U+0941><U+0930><U+0915><U+094D><U+0937><U+093E> <U+090F><U+0935><U+0902> <U+0932><U+0949><U+0915><U+0921><U+093E><U+0909><U+0928> <U+0915><U+0947> <U+0926><U+0943><U+0937><U+094D><U+091F><U+093F><U+0917><U+0924> <U+0905><U+0927><U+093F><U+0915><U+093E><U+0927><U+093F><U+0915> <U+0938><U+0941><U+0935><U+093F><U+0927><U+093E> <U+0909><U+092A><U+0932><U+092C><U+094D><U+0927> <U+0915><U+0930><U+093E><U+0928><U+0947> <U+0915><U+0947> <U+0909><U+0926><U+094D><U+0926><U+0947><U+0936><U+094D><U+092F> <U+0938><U+0947> <U+092E><U+0941>…",FALSE,0,NA,2020-05-10 06:46:15,FALSE,NA,"1259374171026423808",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_milisharma",48,TRUE,FALSE,NA,NA
"RT @letatianosky: Acabo de entrevistar por una rendija de su puerta al Dr.Edwind Agudelo Peña, coordinador del @InstitutoSINCHI en el Amazo…",FALSE,0,NA,2020-05-10 06:46:15,FALSE,NA,"1259374170917437440",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CotsPalauPauli",104,TRUE,FALSE,NA,NA
"Desempleado debido al covid... deudas q ya vienen y no hay como pagar! Que impotencia esta cuarentena da! Sin imagi… https://t.co/Wsm8ZBU1iO",FALSE,0,NA,2020-05-10 06:46:15,TRUE,NA,"1259374170846232578",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Willy_Andree",0,FALSE,FALSE,NA,NA
"RT @_KShackelford: Federal judge just ruled in our favor against the Gov of KY, issuing a statewide injunction protecting all KY churches.…",FALSE,0,NA,2020-05-10 06:46:14,FALSE,NA,"1259374170544226309",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","phillipvjones",4125,TRUE,FALSE,NA,NA
"RT @dmurolo: #10May 1:33am Familia del caso de Covid-19 reportado en Los Salias son ingresados a hotel en la carretera Panamericana donde d…",FALSE,0,NA,2020-05-10 06:46:14,FALSE,NA,"1259374170217086977",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Oswal_Garces",15,TRUE,FALSE,NA,NA
"RT @Omkar_Raii: As #COVID19 pandemic is triggering remote working across the world to retain productivity and ecommerce &amp; digital entertain…",FALSE,0,NA,2020-05-10 06:46:14,FALSE,NA,"1259374169675886596",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KaluraSurendra",218,TRUE,FALSE,NA,NA
"RT @Ch_Richard20: Des #GiletsJaunes devant l'Elysée ce matin pour remettre une lettre à #Macron les policiers ont refusé de la transmettre…",FALSE,0,NA,2020-05-10 06:46:14,FALSE,NA,"1259374169650876422",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","HasoftConcept",268,TRUE,FALSE,NA,NA
"@CallerTime @rf121rf @RobMajor4 @DavidNakamura @Redpainter1 @jdawsey1 Think he’s just upset about the whole “1 and… https://t.co/G546yiNYGq",FALSE,0,"CallerTime",2020-05-10 06:46:14,TRUE,"1259290698790121472","1259374169394950144","1045881858695794688","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jayzini13",0,FALSE,FALSE,NA,NA
"<U+0915><U+0948><U+0926> <U+0939><U+0948> <U+092E><U+0940><U+0921><U+093F><U+092F><U+093E>, <U+091C><U+0928><U+0924><U+093E> <U+0939><U+0948> <U+0935><U+093F><U+0935><U+0936> !
<U+092C><U+0948><U+0920><U+0947><U+0902> <U+0927><U+0930><U+0928><U+093E> <U+092A><U+0930>, <U+092E><U+0928><U+093E><U+090F><U+0902> #<U+0915><U+093E><U+0932><U+093E>_<U+0926><U+093F><U+0935><U+0938><U+0964>

#Covid_19 <U+0938><U+0902><U+0915><U+091F> <U+0938><U+0947> <U+0928><U+093F><U+092A><U+091F><U+0928><U+0947> <U+092E><U+0947><U+0902> <U+0928><U+093E><U+0915><U+093E><U+092E> @NitishKumar <U+0938><U+0930>… https://t.co/9ngXWMxtiQ",FALSE,0,NA,2020-05-10 06:46:14,TRUE,NA,"1259374169336066049",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","singh_rlsp",0,FALSE,FALSE,NA,NA
"@simon_orgill ""Sucking 7 types of kak (including Covid) out of anything""",FALSE,0,"simon_orgill",2020-05-10 06:46:14,FALSE,"1259366463342862336","1259374169189384194","41396324","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LeonLucas",0,FALSE,FALSE,NA,NA
"RT @TinaNart: <U+0E44><U+0E1A><U+0E23><U+0E4C><U+0E17> <U+0E0A><U+0E27><U+0E19><U+0E17><U+0E38><U+0E01><U+0E04><U+0E19><U+0E21><U+0E32><U+0E23><U+0E48><U+0E27><U+0E21><U+0E01><U+0E31><U+0E19><U+0E40><U+0E1B><U+0E47><U+0E19><U+0E2A><U+0E48><U+0E27><U+0E19><U+0E2B><U+0E19><U+0E36><U+0E48><U+0E07><U+0E43><U+0E19><U+0E01><U+0E32><U+0E23><U+0E2A><U+0E21><U+0E17><U+0E1A><U+0E17><U+0E38><U+0E19><U+0E08><U+0E31><U+0E14><U+0E0B><U+0E37><U+0E49><U+0E2D><U+0E2D><U+0E38><U+0E1B><U+0E01><U+0E23><U+0E13><U+0E4C><U+0E17><U+0E32><U+0E07><U+0E01><U+0E32><U+0E23><U+0E41><U+0E1E><U+0E17><U+0E22><U+0E4C><U+0E40><U+0E1E><U+0E37><U+0E48><U+0E2D><U+0E23><U+0E31><U+0E01><U+0E29><U+0E32><U+0E1C><U+0E39><U+0E49><U+0E1B><U+0E48><U+0E27><U+0E22> covid-19<U+0E43><U+0E2B><U+0E49><U+0E41><U+0E01><U+0E48> #<U+0E42><U+0E23><U+0E07><U+0E1E><U+0E22><U+0E32><U+0E1A><U+0E32><U+0E25><U+0E1B><U+0E31><U+0E15><U+0E15><U+0E32><U+0E19><U+0E35>…",FALSE,0,NA,2020-05-10 06:46:14,FALSE,NA,"1259374168904101889",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SuppasitMetawin",245,TRUE,FALSE,NA,NA
"RT @fionamflanagan1: Welcome to #Agenda2030 COVID flying experience.

Assuming we can afford to fly again of course - and this is BEFORE th…",FALSE,0,NA,2020-05-10 06:46:14,FALSE,NA,"1259374168820387842",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mushydmt",149,TRUE,FALSE,NA,NA
"Is er een engelstalige versie om te delen? Hadden ze het wel over het COVID-19 virus? https://t.co/LL0eboxuMJ",FALSE,0,NA,2020-05-10 06:46:14,FALSE,NA,"1259374168111411200",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","GretaBrink",0,FALSE,FALSE,NA,NA
