timestamp,tweet_text,all_hashtags,followers_count,sentaiment_score
5/6/20 23:18,b'American colonizers are now the ones getting tied up by Venezuelans like this... Better to not let them go around spreading diseases so they must be kept under control. #LockdownExtension #COVID19 #Coronavirus #CoronavirusUSA #CoronavirusOutbreak #TrumpLiedAmericansDied #StayHome https://t.co/mZYfox4SEL https://t.co/4siECucN2l',"['LockdownExtension', 'COVID19', 'Coronavirus', 'CoronavirusUSA', 'CoronavirusOutbreak', 'TrumpLiedAmericansDied', 'StayHome']",64,0.25
5/6/20 23:18,"b'""I\'ve never met him, I know nothing about him,"" President Trump said of Rick Bright, who filed a whistleblower complaint alleging he was demoted for failing to go along with Trump. #CoronavirusLiar #CoronavirusOutbreak #CoronavirusUSA https://t.co/65WALuFYdd https://t.co/ToCZCJoHU2'","['CoronavirusLiar', 'CoronavirusOutbreak', 'CoronavirusUSA']",7511,0.2
5/6/20 23:18,b'@JoeBiden More than ever Americans need health insurance and Trump is doing everything he can to eliminate it! #ACA #TrumpWillKill #TrumpLiesAmericansDie #TrumpOwnsEveryDeath #TrumpCaresAboutTrump #CoronavirusUSA #CoronavirusLiar #TrumpBringsAmericaToItsKnees #TrumpIsTheWORSTPresidentEVER',"['ACA', 'TrumpWillKill', 'TrumpLiesAmericansDie', 'TrumpOwnsEveryDeath', 'TrumpCaresAboutTrump', 'CoronavirusUSA', 'CoronavirusLiar', 'TrumpBringsAmericaToItsKnees', 'TrumpIsTheWORSTPresidentEVER']",2,0.625
5/6/20 23:17,b'\xf0\x9f\x99\x84I have the best vision of any president before.  I saw this COVID thing long before anyone else did. I did a tremendous job containing this threat. #2020Vision #COVIDIOT #TrumpVirus #CoronavirusOutbreak #CoronavirusUSA #FBOB #emn  @excusemynews https://t.co/xbcqzEBHvi',"['2020Vision', 'COVIDIOT', 'TrumpVirus', 'CoronavirusOutbreak', 'CoronavirusUSA', 'FBOB', 'emn']",1460,0.427777778
5/6/20 23:17,"b'Check these masks, and more, at https://t.co/WidPyNb3qj  #facemasks #fumidesigns #covid19 #CoronavirusUSA #pandemic #glitter #fashion https://t.co/jfnzK7RyEr'","['facemasks', 'fumidesigns', 'covid19', 'CoronavirusUSA', 'pandemic', 'glitter', 'fashion']",1405,0.5
5/6/20 23:17,"b'This is really disturbing and sadly believable.   That the Democrats would extend the #CoronavirusUSA #lockdownextension just to hurt the economy, and thus hurt Trump. So wrong.   #UnitedNotDivided https://t.co/aOUUlNWGW6'","['CoronavirusUSA', 'lockdownextension', 'UnitedNotDivided']",288,-0.166666667
5/6/20 23:17,b'Folks not taking #CoronavirusUSA serious Costco making it easy for you.. and they have curbside pickup! #StayAtHome a little longer if not for your life... then for mine and my love ones! # https://t.co/C9ARL9s1lN',"['CoronavirusUSA', 'StayAtHome']",201,0.161458333
5/6/20 23:17,b'New: travel news keep you updated #travel #news #viruscorona #coronavirus #coronavirusinpakistan  #CoronavirusUSA https://t.co/MOvJOcP0v1',"['travel', 'news', 'viruscorona', 'coronavirus', 'coronavirusinpakistan', 'CoronavirusUSA']",0,0.136363636
5/6/20 23:16,b'Where can you find a mask when you are touring a mask factory? Hmmm. #Masks4All #DonaldTrump #CoronavirusUSA https://t.co/BAE40uLqwt',"['Masks4All', 'DonaldTrump', 'CoronavirusUSA']",3953,0
5/6/20 23:15,"b'When they tell you face masks are required, you gotta make it fancy. #CoronavirusUSA #facemasks #COVID19 https://t.co/yIUDYv0Ujk'","['CoronavirusUSA', 'facemasks', 'COVID19']",641,0
